pitch,angle,speed,spin,run,frame,src_frame,total,spread,meanSignal,fovea_total,mid_total,far_total,delta_total,corr_prev,PC1,PC2,PC3,PC4,PC5
cb,0deg,speed+3,spin-500,run29,18,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-8.15451580657817e-29,8.52517901189472e-28,-1.50024668015782e-28,1.4759289666413e-28
cb,0deg,speed+3,spin-500,run29,19,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-8.15451580657817e-29,8.52517901189472e-28,-1.50024668015782e-28,1.4759289666413e-28
cb,0deg,speed+3,spin-500,run29,20,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,21,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.01745256198738e-28,9.11720249904239e-30
cb,0deg,speed+3,spin-500,run29,22,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,3.70858934260187e-28,-6.30321152850686e-29
cb,0deg,speed+3,spin-500,run29,23,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-8.15451580657817e-29,8.52517901189472e-28,-1.50024668015782e-28,1.4759289666413e-28
cb,0deg,speed+3,spin-500,run29,24,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,25,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.3263157813729e-28,8.12665202831526e-29
cb,0deg,speed+3,spin-500,run29,26,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,27,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.01745256198738e-28,9.11720249904239e-30
cb,0deg,speed+3,spin-500,run29,28,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.52050545188987e-28,6.94453029891085e-30
cb,0deg,speed+3,spin-500,run29,29,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,30,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436819e-28,4.3263157813729e-28,8.12665202831526e-29
cb,0deg,speed+3,spin-500,run29,31,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.52050545188987e-28,6.94453029891085e-30
cb,0deg,speed+3,spin-500,run29,32,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
cb,0deg,speed+3,spin-500,run29,33,1,600240.160096411,180.33615103923,157.048707508218,188.113478277379,0,600052.046618133,0,1,-3.97773480762161e-12,-3.69591742823468e-29,-1.88834457436822e-28,-2.21164223250436e-28,7.90938480830214e-29
